tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70306E+17,neutral,1,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,,24-02-15 11:35,,Eastern Time (US & Canada)
5.70301E+17,positive,0.3486,,0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,24-02-15 11:15,,Pacific Time (US & Canada)
5.70301E+17,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,,24-02-15 11:15,Lets Play,Central Time (US & Canada)
5.70301E+17,negative,1,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,24-02-15 11:15,,Pacific Time (US & Canada)
5.70301E+17,negative,1,Can't Tell,1,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,24-02-15 11:14,,Pacific Time (US & Canada)
5.70301E+17,negative,1,Can't Tell,0.6842,Virgin America,,jnardino,,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,24-02-15 11:14,,Pacific Time (US & Canada)
5.70301E+17,positive,0.6745,,0,Virgin America,,cjmcginnis,,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,24-02-15 11:13,San Francisco CA,Pacific Time (US & Canada)
5.703E+17,neutral,0.634,,,Virgin America,,pilot,,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,24-02-15 11:12,Los Angeles,Pacific Time (US & Canada)
5.703E+17,positive,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",,24-02-15 11:11,San Diego,Pacific Time (US & Canada)
5.70295E+17,positive,1,,,Virgin America,,YupitsTate,,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,24-02-15 10:53,Los Angeles,Eastern Time (US & Canada)
5.70294E+17,neutral,0.6769,,0,Virgin America,,idk_but_youtube,,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,24-02-15 10:48,1/1 loner squad,Eastern Time (US & Canada)
5.7029E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,24-02-15 10:30,NYC,America/New_York
5.7029E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,24-02-15 10:30,NYC,America/New_York
5.70287E+17,positive,0.6451,,,Virgin America,,mollanderson,,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,24-02-15 10:21,,Eastern Time (US & Canada)
5.70286E+17,positive,1,,,Virgin America,,sjespers,,0,@VirginAmerica Thanks!,,24-02-15 10:15,"San Francisco, CA",Pacific Time (US & Canada)
5.70282E+17,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,@VirginAmerica SFO-PDX schedule is still MIA.,,24-02-15 10:01,"palo alto, ca",Pacific Time (US & Canada)
5.70278E+17,positive,1,,,Virgin America,,ItzBrianHunty,,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,24-02-15 9:42,west covina,Pacific Time (US & Canada)
5.70277E+17,negative,1,Bad Flight,1,Virgin America,,heatherovieda,,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,24-02-15 9:39,this place called NYC,Eastern Time (US & Canada)
5.70268E+17,positive,1,,,Virgin America,,JNLpierce,,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,24-02-15 9:04,Boston | Waltham,Quito
5.70266E+17,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,24-02-15 8:55,,
5.70264E+17,positive,1,,,Virgin America,,DT_Les,,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",24-02-15 8:49,,
5.70259E+17,positive,1,,,Virgin America,,ElvinaBeck,,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,,24-02-15 8:30,Los Angeles,Pacific Time (US & Canada)
5.70259E+17,neutral,1,,,Virgin America,,rjlynch21086,,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,,24-02-15 8:27,"Boston, MA ",Eastern Time (US & Canada)
5.70257E+17,negative,1,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,"@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet",,24-02-15 8:18,714,Mountain Time (US & Canada)
5.70249E+17,negative,1,Customer Service Issue,1,Virgin America,,Leora13,,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,24-02-15 7:49,,
5.7024E+17,negative,1,Can't Tell,0.6614,Virgin America,,meredithjlynn,,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,24-02-15 7:11,,
5.70218E+17,neutral,0.6854,,,Virgin America,,AdamSinger,,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,,24-02-15 5:44,"San Francisco, CA",Central Time (US & Canada)
5.70208E+17,negative,1,Bad Flight,1,Virgin America,,blackjackpro911,,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",24-02-15 5:05,"San Mateo, CA & Las Vegas, NV",
5.70125E+17,neutral,0.615,,0,Virgin America,,TenantsUpstairs,,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",23-02-15 23:34,Brooklyn,Atlantic Time (Canada)
5.70114E+17,negative,1,Flight Booking Problems,1,Virgin America,,jordanpichler,,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",,23-02-15 22:52,,Vienna
5.70095E+17,neutral,1,,,Virgin America,,JCervantezzz,,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,,23-02-15 21:35,"California, San Francisco",Pacific Time (US & Canada)
5.70088E+17,negative,1,Customer Service Issue,1,Virgin America,,Cuschoolie1,,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",23-02-15 21:10,Washington DC,Quito
5.70085E+17,negative,1,Customer Service Issue,1,Virgin America,,amanduhmccarty,,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,23-02-15 20:55,,Pacific Time (US & Canada)
5.70077E+17,positive,1,,,Virgin America,,NorthTxHomeTeam,,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",23-02-15 20:24,Texas,Central Time (US & Canada)
5.70052E+17,neutral,0.6207,,,Virgin America,,miaerolinea,,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,23-02-15 18:46,Worldwide,Caracas
5.70051E+17,positive,1,,,Virgin America,,Nicsplace,,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,,23-02-15 18:43,Central Texas,
5.70045E+17,positive,1,,,Virgin America,,Nicsplace,,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,23-02-15 18:19,Central Texas,
5.70039E+17,neutral,0.6791,,0,Virgin America,,elisha_malulani,,0,@VirginAmerica when can I book my flight to Hawaii??,,23-02-15 17:54,i'm creating a monster ,Pacific Time (US & Canada)
5.70036E+17,negative,1,Customer Service Issue,1,Virgin America,,DannyDouglass,,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,,23-02-15 17:41,"San Francisco, CA",Pacific Time (US & Canada)
5.70034E+17,positive,0.6639,,,Virgin America,,jamesferrandini,,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",,23-02-15 17:32,,
5.70025E+17,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,23-02-15 17:00,Iowa City,Central Time (US & Canada)
